,apache-ant-1.7.0.csv,apache-jmeter-2.10.csv,argouml.csv,columba-1.4-src.csv,emf-2.4.1.csv,hibernate-distribution-3.3.2.GA.csv,jEdit-4.2.csv,jfreechart-1.0.19.csv,jruby-1.4.0.csv,sql12.csv
0,104,286,256,286,209,131,1413,104,209,204
1,104,286,256,286,209,131,1413,104,209,204
2,104,286,256,286,209,131,1413,104,209,204
3,104,286,256,286,209,131,1413,104,209,204
4,104,286,256,286,209,131,1413,104,209,204
5,104,286,256,286,209,131,1413,104,209,204
6,104,286,256,286,209,131,1413,104,209,204
7,104,286,256,286,209,131,1413,104,209,204
8,104,286,256,286,209,131,1413,104,209,204
9,104,286,256,286,209,131,1413,104,209,204
